teamid,team_name,logo_url
32354,LiZe - Produkt IT,https://res.cloudinary.com/postman/image/upload/v1484653616/team/2e0c3da70a9a9fade7180fd2a0a0097cb1cc52cd57ab53d2641f01f7558e3fad.jpg
32652,Array51,https://res.cloudinary.com/postman/image/upload/v1484823585/team/731099f98f952a24d4e2e6acdea76441dd4b9134f277f5f33dcf24d30f71662b.png
32851,NCR-Pulse-RTAPI,https://res.cloudinary.com/postman/image/upload/v1508204426/team/56e40e660d604e0847c125708f4bf2b8f792af24811b2f7e2317346caba9c74e.png
32921,crossdeck,https://res.cloudinary.com/postman/image/upload/v1485188730/team/3b177b69a75b524d900544bc021e3810e3c54a78b96872cec0b37b8699af19a2.png
33067,Marvel,https://res.cloudinary.com/postman/image/upload/v1485297931/team/6892465eed1037892babd6527b00109087370bf9aa9038e947c9e5b94fa4e8f9.png
33180,CodeOasis,https://res.cloudinary.com/postman/image/upload/v1485688334/team/1fb01f3c33f4510385afc575a75287c4a0e753ee27568312ea38743e899e27a3.png
34656,RappiINC,https://res.cloudinary.com/postman/image/upload/v1511382164/team/9884ca0d3ae58219fdc041bf7182d75a4d87a858b3e213e90047a57844f64c9e.png
34697,api-ninjas,https://res.cloudinary.com/postman/image/upload/v1487112105/team/6c890a5e8562837b4ca08c809e29dcec0a29657d09e25bc9f9ca6f190ff38382.png
35119,QA team,https://res.cloudinary.com/postman/image/upload/v1487333439/team/f29bdc12d2eef0a48ecc0497bc3af3131db338494612747b3796e2684f98d053.png
35363,DS-API-Team,https://res.cloudinary.com/postman/image/upload/v1506082007/team/1f2c793cb497ab534483c73ff81e89aad47250f6968a47b021fc1804186f8c74.svg
35777,tripod,https://res.cloudinary.com/postman/image/upload/v1487992616/team/e6aaadd15f3a50efa2c7268bacf1e36f48503089f349860185b278cf7fb2ab20.png
35842,Adopets,https://res.cloudinary.com/postman/image/upload/v1488145913/team/9e39c8119eb861cf0b408a88c6aaf2b630e1cb6bfb89c5fe74416fcd0673b49b.png
36325,Cognoa,https://res.cloudinary.com/postman/image/upload/v1488485237/team/55432409636f5227d811aa4680f4d78fa9d33978505aaa7274eea6d29c4b176b.svg
36421,BedrockData,https://res.cloudinary.com/postman/image/upload/v1488574185/team/d8a3d43e02db69a4bf55015f6a3b24e8d502ed45297088ac448870a1958ff7a8.png
37001,Selesti Ltd,https://res.cloudinary.com/postman/image/upload/v1501579701/team/563d0f4f2506b6b6cdcc026464b96788ca60536243b9074d1095f7c1d01100a9.png
38112,Flexphere,https://res.cloudinary.com/postman/image/upload/v1490753969/team/4303e59cd42c9c1b308a2d06faf0de2c7958e8be4d05763f9d30f7aeaea8025b.png
